,pdays,emp.var.rate,euribor3m,nr.employed,previous,poutcome_nonexistent,poutcome_success,contact_telephone,y,y_pred
21045,999.0,1.4,4.964,5228.1,0.0,1.0,0.0,0.0,0.0,
36755,999.0,-2.9,1.286,5076.2,0.0,1.0,0.0,0.0,0.0,
29391,999.0,-1.8,1.405,5099.1,1.0,0.0,0.0,0.0,0.0,
29841,999.0,-1.8,1.405,5099.1,1.0,0.0,0.0,0.0,0.0,
38004,3.0,-3.4,0.7879999999999999,5017.5,1.0,0.0,1.0,0.0,1.0,
12841,999.0,1.4,4.962,5228.1,0.0,1.0,0.0,1.0,0.0,
10653,999.0,1.4,4.961,5228.1,0.0,1.0,0.0,1.0,0.0,False
41037,6.0,-1.1,1.032,4963.6,2.0,0.0,1.0,0.0,0.0,
27293,999.0,-0.1,4.021,5195.8,0.0,1.0,0.0,1.0,0.0,
30373,999.0,-1.8,1.365,5099.1,1.0,0.0,0.0,0.0,0.0,
27401,999.0,-0.1,4.021,5195.8,1.0,0.0,0.0,0.0,0.0,
7517,999.0,1.1,4.864,5191.0,0.0,1.0,0.0,1.0,0.0,False
14493,999.0,1.4,4.961,5228.1,0.0,1.0,0.0,0.0,0.0,
37550,999.0,-2.9,0.8690000000000001,5076.2,0.0,1.0,0.0,0.0,1.0,
14651,999.0,1.4,4.961,5228.1,0.0,1.0,0.0,0.0,0.0,
23678,999.0,1.4,4.962,5228.1,0.0,1.0,0.0,0.0,0.0,
22158,999.0,1.4,4.963,5228.1,0.0,1.0,0.0,0.0,0.0,
14039,999.0,1.4,4.963,5228.1,0.0,1.0,0.0,0.0,0.0,
9803,999.0,1.4,4.959,5228.1,0.0,1.0,0.0,1.0,0.0,False
37348,999.0,-2.9,0.883,5076.2,0.0,1.0,0.0,0.0,0.0,
35972,999.0,-1.8,1.264,5099.1,0.0,1.0,0.0,0.0,1.0,
4902,999.0,1.1,4.8580000000000005,5191.0,0.0,1.0,0.0,1.0,1.0,False
32653,999.0,-1.8,1.2990000000000002,5099.1,0.0,1.0,0.0,0.0,0.0,
16472,999.0,1.4,4.963,5228.1,0.0,1.0,0.0,1.0,0.0,
27885,999.0,-1.8,1.556,5099.1,0.0,1.0,0.0,1.0,0.0,
40036,999.0,-1.7,0.7929999999999999,4991.6,0.0,1.0,0.0,0.0,1.0,
41178,6.0,-1.1,1.031,4963.6,3.0,0.0,1.0,0.0,1.0,
26439,999.0,-0.1,4.0760000000000005,5195.8,0.0,1.0,0.0,0.0,0.0,
11492,999.0,1.4,4.959,5228.1,0.0,1.0,0.0,1.0,1.0,False
24545,999.0,-0.1,4.191,5195.8,0.0,1.0,0.0,0.0,0.0,
13518,999.0,1.4,4.963,5228.1,0.0,1.0,0.0,0.0,0.0,
30234,999.0,-1.8,1.365,5099.1,0.0,1.0,0.0,0.0,1.0,
15958,999.0,1.4,4.96,5228.1,0.0,1.0,0.0,1.0,0.0,
4733,999.0,1.1,4.8580000000000005,5191.0,0.0,1.0,0.0,1.0,0.0,False
909,999.0,1.1,4.856,5191.0,0.0,1.0,0.0,1.0,0.0,False
24500,999.0,-0.1,4.191,5195.8,0.0,1.0,0.0,0.0,0.0,
27271,999.0,-0.1,4.021,5195.8,0.0,1.0,0.0,0.0,0.0,
26759,999.0,-0.1,4.0760000000000005,5195.8,0.0,1.0,0.0,0.0,0.0,
35463,999.0,-1.8,1.244,5099.1,0.0,1.0,0.0,0.0,0.0,
21434,999.0,1.4,4.963,5228.1,0.0,1.0,0.0,0.0,0.0,
24051,999.0,-0.1,4.827,5195.8,0.0,1.0,0.0,1.0,1.0,
31619,999.0,-1.8,1.327,5099.1,1.0,0.0,0.0,0.0,0.0,
25617,999.0,-0.1,4.12,5195.8,0.0,1.0,0.0,0.0,0.0,
18925,999.0,1.4,4.97,5228.1,0.0,1.0,0.0,0.0,0.0,
5385,999.0,1.1,4.857,5191.0,0.0,1.0,0.0,1.0,0.0,False
7123,999.0,1.1,4.86,5191.0,0.0,1.0,0.0,1.0,0.0,False
11318,999.0,1.4,4.961,5228.1,0.0,1.0,0.0,1.0,0.0,False
20664,999.0,1.4,4.965,5228.1,0.0,1.0,0.0,0.0,1.0,
32020,999.0,-1.8,1.327,5099.1,0.0,1.0,0.0,0.0,0.0,
36654,999.0,-2.9,1.268,5076.2,0.0,1.0,0.0,0.0,1.0,
30351,999.0,-1.8,1.365,5099.1,0.0,1.0,0.0,1.0,0.0,
10251,999.0,1.4,4.96,5228.1,0.0,1.0,0.0,1.0,0.0,False
15902,999.0,1.4,4.96,5228.1,0.0,1.0,0.0,0.0,0.0,
21001,999.0,1.4,4.964,5228.1,0.0,1.0,0.0,0.0,0.0,
2851,999.0,1.1,4.859,5191.0,0.0,1.0,0.0,1.0,0.0,False
30726,999.0,-1.8,1.344,5099.1,1.0,0.0,0.0,0.0,0.0,
32593,999.0,-1.8,1.2990000000000002,5099.1,0.0,1.0,0.0,0.0,0.0,
36033,999.0,-1.8,1.266,5099.1,1.0,0.0,0.0,0.0,1.0,
34775,999.0,-1.8,1.266,5099.1,0.0,1.0,0.0,0.0,0.0,
30034,999.0,-1.8,1.405,5099.1,0.0,1.0,0.0,0.0,1.0,
3931,999.0,1.1,4.8580000000000005,5191.0,0.0,1.0,0.0,1.0,0.0,False
29602,999.0,-1.8,1.405,5099.1,0.0,1.0,0.0,0.0,0.0,
39089,999.0,-3.0,0.7070000000000001,5023.5,0.0,1.0,0.0,0.0,1.0,
4393,999.0,1.1,4.856,5191.0,0.0,1.0,0.0,1.0,0.0,False
25102,999.0,-0.1,4.1530000000000005,5195.8,0.0,1.0,0.0,0.0,0.0,
10637,999.0,1.4,4.961,5228.1,0.0,1.0,0.0,1.0,0.0,False
26470,999.0,-0.1,4.0760000000000005,5195.8,0.0,1.0,0.0,0.0,1.0,
34278,999.0,-1.8,1.266,5099.1,0.0,1.0,0.0,0.0,0.0,
29716,999.0,-1.8,1.405,5099.1,1.0,0.0,0.0,0.0,0.0,
30652,999.0,-1.8,1.344,5099.1,1.0,0.0,0.0,0.0,0.0,
15107,999.0,1.4,4.958,5228.1,0.0,1.0,0.0,0.0,0.0,
18622,999.0,1.4,4.968,5228.1,0.0,1.0,0.0,0.0,0.0,
16664,999.0,1.4,4.963,5228.1,0.0,1.0,0.0,1.0,0.0,
36798,999.0,-2.9,1.26,5076.2,1.0,0.0,0.0,0.0,0.0,
19254,999.0,1.4,4.967,5228.1,0.0,1.0,0.0,0.0,0.0,
37222,999.0,-2.9,0.8809999999999999,5076.2,0.0,1.0,0.0,0.0,0.0,
35319,999.0,-1.8,1.25,5099.1,1.0,0.0,0.0,0.0,0.0,
39153,6.0,-1.8,0.655,5008.7,1.0,0.0,1.0,0.0,1.0,
27649,999.0,-0.1,4.021,5195.8,0.0,1.0,0.0,0.0,0.0,
27659,999.0,-0.1,4.021,5195.8,0.0,1.0,0.0,0.0,0.0,
4051,999.0,1.1,4.8580000000000005,5191.0,0.0,1.0,0.0,1.0,0.0,False
15431,999.0,1.4,4.957,5228.1,0.0,1.0,0.0,0.0,0.0,
38269,6.0,-3.4,0.742,5017.5,1.0,0.0,1.0,0.0,1.0,
30816,999.0,-1.8,1.344,5099.1,0.0,1.0,0.0,0.0,0.0,
3776,999.0,1.1,4.859,5191.0,0.0,1.0,0.0,1.0,0.0,True
27884,999.0,-1.8,1.556,5099.1,0.0,1.0,0.0,0.0,0.0,
1519,999.0,1.1,4.855,5191.0,0.0,1.0,0.0,1.0,0.0,False
3153,999.0,1.1,4.86,5191.0,0.0,1.0,0.0,1.0,0.0,False
26112,999.0,-0.1,4.12,5195.8,0.0,1.0,0.0,1.0,0.0,
27757,999.0,-1.8,1.757,5099.1,0.0,1.0,0.0,0.0,0.0,
37658,999.0,-2.9,0.8590000000000001,5076.2,2.0,0.0,0.0,0.0,1.0,
37221,999.0,-2.9,0.8809999999999999,5076.2,0.0,1.0,0.0,0.0,0.0,
10942,999.0,1.4,4.962,5228.1,0.0,1.0,0.0,1.0,0.0,False
38583,999.0,-3.4,0.72,5017.5,0.0,1.0,0.0,0.0,0.0,
30343,999.0,-1.8,1.365,5099.1,0.0,1.0,0.0,0.0,1.0,
1876,999.0,1.1,4.855,5191.0,0.0,1.0,0.0,1.0,0.0,False
9153,999.0,1.4,4.967,5228.1,0.0,1.0,0.0,1.0,0.0,False
20564,999.0,1.4,4.966,5228.1,0.0,1.0,0.0,0.0,0.0,
23319,999.0,1.4,4.964,5228.1,0.0,1.0,0.0,0.0,0.0,
22857,999.0,1.4,4.965,5228.1,0.0,1.0,0.0,0.0,0.0,
5211,999.0,1.1,4.857,5191.0,0.0,1.0,0.0,1.0,0.0,False
10290,999.0,1.4,4.96,5228.1,0.0,1.0,0.0,1.0,0.0,False
5298,999.0,1.1,4.857,5191.0,0.0,1.0,0.0,1.0,0.0,False
18799,999.0,1.4,4.968,5228.1,0.0,1.0,0.0,0.0,0.0,
6214,999.0,1.1,4.857,5191.0,0.0,1.0,0.0,1.0,0.0,False
39695,999.0,-1.8,0.69,5008.7,0.0,1.0,0.0,1.0,0.0,
24593,999.0,-0.1,4.191,5195.8,0.0,1.0,0.0,0.0,0.0,
37603,999.0,-2.9,0.861,5076.2,0.0,1.0,0.0,0.0,1.0,
2496,999.0,1.1,4.856,5191.0,0.0,1.0,0.0,1.0,0.0,False
38872,999.0,-3.4,0.7140000000000001,5017.5,0.0,1.0,0.0,1.0,0.0,
12284,999.0,1.4,4.966,5228.1,0.0,1.0,0.0,1.0,0.0,
9854,999.0,1.4,4.959,5228.1,0.0,1.0,0.0,1.0,0.0,False
34369,999.0,-1.8,1.266,5099.1,1.0,0.0,0.0,0.0,0.0,
1899,999.0,1.1,4.855,5191.0,0.0,1.0,0.0,1.0,0.0,False
22037,999.0,1.4,4.964,5228.1,0.0,1.0,0.0,0.0,0.0,
29824,999.0,-1.8,1.405,5099.1,0.0,1.0,0.0,0.0,1.0,
23515,999.0,1.4,4.962,5228.1,0.0,1.0,0.0,0.0,0.0,
38258,999.0,-3.4,0.742,5017.5,0.0,1.0,0.0,0.0,1.0,
23828,999.0,1.4,4.963,5228.1,0.0,1.0,0.0,0.0,0.0,
17063,999.0,1.4,4.962,5228.1,0.0,1.0,0.0,1.0,0.0,
9478,999.0,1.4,4.961,5228.1,0.0,1.0,0.0,1.0,0.0,False
31276,999.0,-1.8,1.334,5099.1,0.0,1.0,0.0,0.0,0.0,
11212,999.0,1.4,4.961,5228.1,0.0,1.0,0.0,1.0,0.0,False
33794,999.0,-1.8,1.281,5099.1,1.0,0.0,0.0,0.0,0.0,
6603,999.0,1.1,4.857,5191.0,0.0,1.0,0.0,1.0,0.0,False
1232,999.0,1.1,4.855,5191.0,0.0,1.0,0.0,1.0,0.0,False
40400,9.0,-1.7,0.904,4991.6,4.0,0.0,0.0,0.0,1.0,
23996,999.0,1.4,4.963,5228.1,0.0,1.0,0.0,1.0,0.0,
33825,999.0,-1.8,1.281,5099.1,0.0,1.0,0.0,0.0,0.0,
27526,999.0,-0.1,4.021,5195.8,0.0,1.0,0.0,0.0,0.0,
27019,999.0,-0.1,4.021,5195.8,0.0,1.0,0.0,0.0,0.0,
24619,999.0,-0.1,4.191,5195.8,0.0,1.0,0.0,0.0,0.0,
39982,6.0,-1.7,0.7609999999999999,4991.6,3.0,0.0,1.0,0.0,1.0,
34241,999.0,-1.8,1.266,5099.1,0.0,1.0,0.0,0.0,0.0,
3430,999.0,1.1,4.86,5191.0,0.0,1.0,0.0,1.0,0.0,False
39805,999.0,-1.7,0.7040000000000001,4991.6,2.0,0.0,0.0,0.0,0.0,
17274,999.0,1.4,4.962,5228.1,0.0,1.0,0.0,0.0,1.0,
14653,999.0,1.4,4.961,5228.1,0.0,1.0,0.0,0.0,0.0,
21799,999.0,1.4,4.964,5228.1,0.0,1.0,0.0,0.0,0.0,
12782,999.0,1.4,4.962,5228.1,0.0,1.0,0.0,0.0,0.0,
16838,999.0,1.4,4.962,5228.1,0.0,1.0,0.0,0.0,0.0,
4212,999.0,1.1,4.8580000000000005,5191.0,0.0,1.0,0.0,1.0,0.0,False
20398,999.0,1.4,4.966,5228.1,0.0,1.0,0.0,0.0,0.0,
34106,999.0,-1.8,1.281,5099.1,0.0,1.0,0.0,0.0,0.0,
6638,999.0,1.1,4.857,5191.0,0.0,1.0,0.0,1.0,0.0,False
26579,999.0,-0.1,4.0760000000000005,5195.8,0.0,1.0,0.0,0.0,0.0,
11846,999.0,1.4,4.959,5228.1,0.0,1.0,0.0,1.0,0.0,False
24698,999.0,-0.1,4.191,5195.8,1.0,0.0,0.0,0.0,0.0,
20986,999.0,1.4,4.964,5228.1,0.0,1.0,0.0,0.0,0.0,
35531,999.0,-1.8,1.244,5099.1,0.0,1.0,0.0,0.0,0.0,
9570,999.0,1.4,4.961,5228.1,0.0,1.0,0.0,1.0,0.0,False
13601,999.0,1.4,4.963,5228.1,0.0,1.0,0.0,0.0,0.0,
